date, high, low, open, close, volume, quoteVolume, weightedAverage
1424131200, 0.099, 0.01, 0.01, 0.099, 0.99999999, 12.2630202, 0.08154597
1424145600, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424160000, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424174400, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424188800, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424203200, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424217600, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424232000, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424246400, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424260800, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424275200, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424289600, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424304000, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424318400, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424332800, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424347200, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424361600, 0.099, 0.099, 0.099, 0.099, 0, 0, 0.099
1424376000, 0.35, 0.08859999, 0.08859999, 0.26000001, 41.33583598, 171.26440055, 0.24135684
1424390400, 0.26000001, 0.26000001, 0.26000001, 0.26000001, 0.078, 0.3, 0.26000001
1424404800, 0.26000001, 0.26000001, 0.26000001, 0.26000001, 0, 0, 0.26000001
1424419200, 0.26000001, 0.25, 0.26000001, 0.25, 28.74716351, 110.59025413, 0.259943
1424433600, 0.25, 0.25, 0.25, 0.25, 0.01737624, 0.06950499, 0.25
1424448000, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.25
1424462400, 0.25, 0.25, 0.25, 0.25, 0.00367435, 0.01469741, 0.25
1424476800, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.25
1424491200, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.25
1424505600, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.25
1424520000, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.25
1424534400, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.25
