date, high, low, open, close, volume, quoteVolume, weightedAverage
1425758400, 0.045, 0.045, 0.045, 0.045, 0.00029522, 0.00656056, 0.045
1425772800, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425787200, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425801600, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425816000, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425830400, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425844800, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425859200, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425873600, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425888000, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425902400, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425916800, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425931200, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425945600, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425960000, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425974400, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1425988800, 0.045, 0.045, 0.045, 0.045, 0, 0, 0.045
1426003200, 0.960001, 0.960001, 0.960001, 0.960001, 0.00689226, 0.00717944, 0.960001
1426017600, 0.960001, 0.960001, 0.960001, 0.960001, 0, 0, 0.960001
1426032000, 0.960001, 0.960001, 0.960001, 0.960001, 0.05893476, 0.06139032, 0.960001
1426046400, 0.960001, 0.960001, 0.960001, 0.960001, 0, 0, 0.960001
1426060800, 0.960001, 0.960001, 0.960001, 0.960001, 0, 0, 0.960001
1426075200, 0.960001, 0.960001, 0.960001, 0.960001, 0, 0, 0.960001
1426089600, 0.960001, 0.960001, 0.960001, 0.960001, 0, 0, 0.960001
1426104000, 0.960001, 0.960001, 0.960001, 0.960001, 0, 0, 0.960001
