date, high, low, open, close, volume, quoteVolume, weightedAverage
1424462400, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0.003667, 0.14669966, 0.02499665
1424476800, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424491200, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424505600, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424520000, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424534400, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0.01360314, 0.54419892, 0.02499665
1424548800, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424563200, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424577600, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424592000, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424606400, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424620800, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424635200, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424649600, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424664000, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424678400, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424692800, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424707200, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424721600, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424736000, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424750400, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
1424764800, 0.02499665, 0.02499665, 0.02499665, 0.02499665, 0, 0, 0.02499665
