date, high, low, open, close, volume, quoteVolume, weightedAverage
1440187200, 1.5, 1.5, 1.5, 1.5, 15, 10, 1.5
1440201600, 1.33000064, 1.33000064, 1.33000064, 1.33000064, 0.78393859, 0.58942723, 1.33000064
1440216000, 1.33000064, 1.33000064, 1.33000064, 1.33000064, 0, 0, 1.33000064
1440230400, 1.33000064, 1.33000064, 1.33000064, 1.33000064, 0, 0, 1.33000064
1440244800, 1.33000064, 1.33000064, 1.33000064, 1.33000064, 0, 0, 1.33000064
1440259200, 1.33000064, 1.33000064, 1.33000064, 1.33000064, 0, 0, 1.33000064
1440273600, 1.33000064, 1.33000064, 1.33000064, 1.33000064, 0, 0, 1.33000064
1440288000, 1.49999974, 1.33000259, 1.34, 1.33000259, 51.35522965, 38.48246226, 1.33450997
1440302400, 1.33000259, 1.33000259, 1.33000259, 1.33000259, 0, 0, 1.33000259
1440316800, 1.33000259, 1.33000259, 1.33000259, 1.33000259, 0, 0, 1.33000259
1440331200, 1.33000259, 1.33000259, 1.33000259, 1.33000259, 0, 0, 1.33000259
1440345600, 1.49998413, 1.49998412, 1.49998412, 1.49998413, 39.91154474, 26.60797802, 1.49998412
1440360000, 1.49999999, 1.49999999, 1.49999999, 1.49999999, 0.01131281, 0.00754188, 1.49999999
1440374400, 1.49999999, 1.49999999, 1.49999999, 1.49999999, 0, 0, 1.49999999
1440388800, 1.3300208, 1.29999999, 1.33002077, 1.3, 164.95686984, 126.14493716, 1.30767729
1440403200, 1.39999999, 1.39999999, 1.39999999, 1.39999999, 0.16379214, 0.11699439, 1.39999999
1440417600, 1.24100001, 1.24100001, 1.24100001, 1.24100001, 10.91252472, 8.7933317, 1.24100001
1440432000, 1.24100001, 1.2399999, 1.24100001, 1.2399999, 8.69501052, 7.0068738, 1.2409258
1440446400, 1.3, 1.3, 1.3, 1.3, 8.95462319, 6.88817169, 1.3
1440460800, 1.39999998, 1.05100001, 1.05100001, 1.39999998, 0.14871073, 0.10632852, 1.39859687
1440475200, 1.39999998, 1.39999998, 1.39999998, 1.39999998, 0, 0, 1.39999998
1440489600, 1.05100001, 1.05100001, 1.05100001, 1.05100001, 0.17012338, 0.16186811, 1.05100001
1440504000, 1.05100001, 1.05, 1.05100001, 1.05, 28.59057682, 27.21748497, 1.05044888
1440518400, 1.05, 1.05, 1.05, 1.05, 0, 0, 1.05
1440532800, 1.05, 1.05, 1.05, 1.05, 0, 0, 1.05
1440547200, 1.05, 1.05, 1.05, 1.05, 0, 0, 1.05
1440561600, 1.09999999, 1.09999999, 1.09999999, 1.09999999, 0.14805992, 0.13459993, 1.09999999
1440576000, 1.14, 1.14, 1.14, 1.14, 11.27825719, 9.89320807, 1.14
1440590400, 1.14, 1.00000001, 1.00100001, 1.14, 64.33138784, 61.08880506, 1.05307982
1440604800, 1.00000001, 1.00000001, 1.00000001, 1.00000001, 10.56788835, 10.56788825, 1.00000001
1440619200, 1.00000001, 1.00000001, 1.00000001, 1.00000001, 0, 0, 1.00000001
1440633600, 1.27, 1.27, 1.27, 1.27, 0.00242509, 0.00190952, 1.27
1440648000, 1.27, 1.27, 1.27, 1.27, 0, 0, 1.27
1440662400, 1.27, 1.27, 1.27, 1.27, 0, 0, 1.27
1440676800, 1.27, 1.27, 1.27, 1.27, 0, 0, 1.27
